Model,Region,MSE,MAE,Pearson,Cross_Corr,Lag,Deriv_Consistency,Pred_Min,Pred_Max,Pred_Var
Persistence,VISp,0.004117497242987156,0.04369191825389862,0.9932290314733849,0.9983164072036743,-1,0.9715051224613072,-1.3895906209945679,2.1899116039276123,0.3044554591178894
Persistence,VISl,0.008752384223043919,0.06998195499181747,0.9920658668064121,0.9959407448768616,-1,0.9677148686339753,-1.9421119689941406,2.9033377170562744,0.5504311323165894
Persistence,VISpm,0.005240756087005138,0.05548510327935219,0.996418435654105,0.9990108609199524,-1,0.9751209001490251,-1.9967005252838135,2.290574073791504,0.7319890856742859
Persistence,LGd,0.003559322329238057,0.04550918564200401,0.9982289359846224,0.9994879961013794,-1,0.9765085007693746,-1.9498547315597534,2.476592540740967,1.0048508644104004
Independent_Per_Region,VISp,0.004107452929019928,0.043569955974817276,0.9932267476516189,0.9983144402503967,-1,0.9714977339419055,-1.3864103555679321,2.182217836380005,0.3026535212993622
Independent_Per_Region,VISl,0.00874987430870533,0.07015364617109299,0.9920643853033912,0.9959398508071899,-1,0.9677123518574529,-1.9353101253509521,2.889145612716675,0.5455524325370789
Independent_Per_Region,VISpm,0.005228626541793346,0.05547031760215759,0.9964183268218818,0.9990105032920837,-1,0.9751217689471292,-1.9895302057266235,2.279891014099121,0.7262184023857117
Independent_Per_Region,LGd,0.0035553777124732733,0.045464616268873215,0.9982294532389651,0.9994879961013794,-1,0.9765116745098793,-1.9463980197906494,2.470181703567505,1.00066077709198
Joint_Linear,VISp,0.0041242362931370735,0.04368100315332413,0.9932140383836309,0.9983148574829102,-1,0.9714461917432988,-1.387905240058899,2.1894445419311523,0.30414220690727234
Joint_Linear,VISl,0.008742292411625385,0.07013987749814987,0.9920779121908643,0.9959374070167542,-1,0.9677252435162624,-1.9363183975219727,2.890409469604492,0.5462070107460022
Joint_Linear,VISpm,0.00524932611733675,0.055522095412015915,0.9964147250823439,0.9990106821060181,-1,0.9750995116111902,-1.996687412261963,2.291975498199463,0.7327386140823364
Joint_Linear,LGd,0.0035656201653182507,0.04545531049370766,0.9982280638943835,0.9994887113571167,-1,0.9765318302317627,-1.9502930641174316,2.474818229675293,1.003450632095337
Joint_MLP,VISp,0.0040265340358018875,0.0433063767850399,0.9933502620074286,0.9982704520225525,-1,0.9718678657600718,-1.384212851524353,2.1806538105010986,0.3011597990989685
Joint_MLP,VISl,0.008659659884870052,0.06960061937570572,0.9921397769437532,0.9958964586257935,-1,0.9680419829909639,-1.9350616931915283,2.892793655395508,0.5466161966323853
Joint_MLP,VISpm,0.005213703960180283,0.0554480217397213,0.9964384965747298,0.9989852905273438,-1,0.9750931685589341,-1.987579107284546,2.2799220085144043,0.7243558168411255
Joint_MLP,LGd,0.0035647214390337467,0.04561353474855423,0.9982247848253756,0.9994862675666809,-1,0.976606751460285,-1.9502763748168945,2.468787908554077,1.0015771389007568
MechanisticModel,VISp,0.0040686666034162045,0.04344915598630905,0.9932758372719532,0.9982763528823853,-1,0.9717121384214353,-1.3862453699111938,2.175859212875366,0.30080294609069824
MechanisticModel,VISl,0.008687798865139484,0.06995776295661926,0.9921229500042932,0.9959057569503784,-1,0.9678578673642806,-1.9335135221481323,2.882418394088745,0.5442591905593872
MechanisticModel,VISpm,0.005200553685426712,0.05539032816886902,0.9964484149760555,0.9989829063415527,-1,0.9752362688650399,-1.9902878999710083,2.2765982151031494,0.7223659753799438
MechanisticModel,LGd,0.003561723744496703,0.04545748978853226,0.9982277943934078,0.9994872212409973,-1,0.9765179652919613,-1.945051670074463,2.468555450439453,0.9981178641319275
HybridModel,VISp,0.0040567368268966675,0.04343413934111595,0.9932970222486937,0.9982704520225525,-1,0.9717316871961039,-1.387313961982727,2.176483631134033,0.3010410666465759
HybridModel,VISl,0.008677373640239239,0.06982112675905228,0.9921236864299748,0.9959133267402649,-1,0.9678506661282151,-1.9361779689788818,2.889275312423706,0.5462405681610107
HybridModel,VISpm,0.005202620755881071,0.055418334901332855,0.9964411101702699,0.9989820122718811,-1,0.9751737450006642,-1.993062138557434,2.277728319168091,0.7237769961357117
HybridModel,LGd,0.003556459443643689,0.04555688425898552,0.9982298900446767,0.9994874596595764,-1,0.9765200654351662,-1.9449502229690552,2.469998836517334,0.9996328949928284
